i,forum,global_ms,tenant_ms
3,android,2.626038996822899,3.1658270017942414
3,android,2.482856001734035,3.523508999933256
3,android,2.397600997937843,3.634461001638556
3,android,2.404656999715371,3.2752619990787935
3,android,2.645070999278687,3.3631370024522766
3,android,2.6846520013350528,3.4275109974259976
3,android,2.362188999541104,3.539026001817547
3,android,2.5484880025032908,3.880809999827761
3,android,2.8603360005945433,3.139996999379946
3,android,2.960009001981234,3.810310998233035
3,android,2.3134349976317026,3.887230999680469
3,android,2.6252200004819315,3.683455001009861
3,android,2.5823120013228618,3.876806000334909
3,android,2.7828849997604266,3.486017001705477
3,android,2.207723999163136,3.183541997714201
3,android,2.59984100193833,3.721279001183575
3,android,2.4538170000596438,3.1609199977538083
4,android,2.3907270006020553,2.5617730025260244
4,android,2.2756809994461946,3.098017001320841
4,android,2.5473130008322187,3.0852119998598937
4,android,2.5035110011231154,2.667748001840664
4,android,2.057221001450671,2.880482999898959
4,android,2.1908689996053,2.917285997682484
4,android,2.1474109998962376,2.8813360004278366
4,android,2.0304300014686305,3.0776210005569737
4,android,2.4766360002104193,3.2129979990713764
4,android,2.693028000066988,3.3550610023667105
4,android,1.9802609967882745,2.5875219980662223
4,android,2.060156002698932,3.104073999566026
4,android,2.2720300003129523,2.633922002132749
4,android,2.0795390009880066,2.5513600012345705
4,android,2.3300550019484945,3.0617009979323484
4,android,2.50794600287918,3.678002001834102
4,android,2.286571001604898,2.753633998509031
4,android,2.1918359998380765,2.6740220018837135
4,android,2.416101000562776,2.7307310010655783
4,android,2.31418299881625,3.0092130000412
5,android,3.2810519987833686,4.881548000412295
5,android,3.3309369973721914,4.138098996918416
5,android,3.3900739981618244,4.642201998649398
5,android,3.1295120024878997,4.306653998355614
5,android,3.2772869999462273,4.575513998133829
5,android,3.30653200217057,4.249091998644872
5,android,3.0634169997938443,4.384807001770241
5,android,3.2531079996260814,4.45792599930428
5,android,2.8722749993903562,4.312212000513682
5,android,3.874174002703512,5.143731999851298
5,android,3.1948110008670483,4.4641089989454485
5,android,3.1321630012826063,4.66160799987847
5,android,3.07750899810344,3.6699770025734324
5,android,2.7877719985553995,4.803723000804894
5,android,3.5110530006932095,4.281590001482982
5,android,2.8599799989024177,5.082351999590173
5,android,2.9607270007545594,3.7956859996484127
5,android,2.800487000058638,4.240882000885904
5,android,3.1201010024233256,4.6551350023946725
5,android,2.8358210001897532,4.487262998736696
6,android,2.512764000130119,2.593966000858927
6,android,1.8241819998365827,2.055575001577381
6,android,1.7192800005432218,2.293540001119254
6,android,1.8796940021275077,2.460790998156881
6,android,2.18598799983738,2.3702129983576015
6,android,1.9388510008866433,2.176789999793982
6,android,1.6245689985225908,2.527204000216443
6,android,2.14811400292092,2.566933999332832
6,android,2.2303750010905787,2.4559710000175983
6,android,1.8165230030717794,2.071094000712037
6,android,2.0007950006402098,2.9562999989138916
6,android,2.710738997848239,2.802126000460703
6,android,1.9608590009738691,2.289214997290401
6,android,1.787608998711221,2.6190130010945722
6,android,2.6885030019911937,3.5630229976959527
6,android,2.110724999511149,2.4807779991533607
6,android,2.059238002402708,2.448546001687646
6,android,2.28054100080044,2.9996189987286925
6,android,2.4502380001649726,2.8851600000052713
6,android,1.9379619989194907,2.2402649992727675
7,android,2.358596997510176,3.2842569999047555
7,android,2.9005940014030784,4.215478998958133
7,android,3.1327779979619663,3.5532319998310413
7,android,2.394466002442641,3.714424001373118
7,android,2.752776003035251,3.3874820001074113
7,android,2.2697240019624587,2.98176799697103
7,android,2.4470829994243104,3.3039409972843714
7,android,3.27439700049581,3.4639610021258704
7,android,2.6476909988559783,3.9780150000297
7,android,3.189832998032216,4.105825999431545
7,android,2.533617000153754,3.268067001044983
7,android,4.616575999534689,4.275234998203814
7,android,3.3941850015253294,3.502831001242157
7,android,2.7766019993578084,4.2103189989575185
7,android,3.4581610016175546,3.162257999065332
7,android,2.2632629988947883,3.069980000873329
7,android,2.618566999444738,3.2979179995891172
7,android,3.231963000871474,3.21135900230729
7,android,2.11253900124575,3.216090000933036
7,android,2.801926999381976,3.8059910002630204
8,android,1.626237000891706,2.2545989995705895
8,android,2.030302999628475,2.667070999450516
8,android,2.403972001047805,2.8799039973819163
8,android,1.8995430000359192,2.2100200003478676
8,android,1.7919410020112991,2.355630000238307
8,android,2.417360999970697,2.842418001819169
8,android,2.274780999869108,2.458877999742981
8,android,1.8328000005567446,2.210032002039952
8,android,1.7493459999968763,2.435170998069225
8,android,2.1826929987582844,3.160309002851136
8,android,1.9981799996457994,2.395998999418225
8,android,1.772350002283929,2.3000469991529826
8,android,1.8618210015119985,2.7905819988518488
8,android,2.0510239992290735,2.6293769988114946
8,android,1.9261629968241323,2.243491999252001
8,android,1.7836040024121758,2.306100999703631
8,android,2.1525319971260615,2.732234999712091
8,android,2.5112920011451934,2.3148380023485515
8,android,1.7682610014162492,2.190449999034172
8,android,1.668218999839155,2.1798349989694543
9,android,2.1733869980380405,2.976571999170119
9,android,2.3770700026943814,3.8565439972444437
9,android,2.275322000059532,3.1914070023049135
9,android,2.235598996776389,2.8557189980347175
9,android,2.4262219994852785,3.4797869993781205
9,android,2.385122003033757,2.819633999024518
9,android,2.027581002039369,3.4528269970905967
9,android,2.9257599999255035,3.4161869989475235
9,android,2.770441002212465,4.008629999589175
9,android,2.1158019990252797,3.679253000882454
9,android,2.4126099997374695,3.552129001036519
9,android,2.472685999237001,3.1151590010267682
9,android,2.102972001011949,3.0917290023353416
9,android,2.4156500003300607,2.931887000158895
9,android,2.2311510001600254,3.1739149999339134
9,android,2.181679999921471,3.089693000219995
9,android,2.4071139996522106,3.584168000088539
9,android,2.261663001263514,2.762010997685138
9,android,2.4407929995504674,2.8848530018876772
9,android,2.1113020011398476,3.131409001071006
10,android,2.718199000810273,3.602443997806404
10,android,2.4864590013748966,3.683721999550471
10,android,3.5591349987953436,3.7914249987807125
10,android,2.505815999029437,3.3533030000398867
10,android,2.501623002899578,3.532991999236401
10,android,3.4095890005119145,4.0336580022994895
10,android,2.3408130000461824,4.287449999537785
10,android,3.398049000679748,3.9906820020405576
10,android,2.793965999444481,3.588546001992654
10,android,2.9562579984485637,4.154665999521967
10,android,2.9697719983232673,4.020398002467118
10,android,2.7426950000517536,4.318466999393422
10,android,3.752048000023933,4.33625299774576
10,android,2.6477229985175654,3.9211029979924206
10,android,3.1969519986887462,5.090447000839049
10,android,2.4966769997263327,3.725402999407379
10,android,2.9536769980040845,4.135601000598399
10,android,3.074218999245204,3.467598002316663
10,android,2.34391299818526,3.67032900248887
10,android,3.0487419971905183,3.943242998502683
11,android,2.7268000012554694,3.2995040019159205
11,android,2.229417001217371,2.807528002449544
11,android,2.4026139981287997,3.7524090002989396
11,android,3.0135310007608496,3.2435760003863834
11,android,2.3408559973177034,3.2022009982028976
11,android,2.466928999638185,2.900118000980001
11,android,3.104417002759874,2.890779000153998
11,android,1.9780209986492991,2.6646929982234724
11,android,2.285777998622507,3.301205000752816
11,android,2.4532230017939582,3.065174001676496
11,android,2.211114999226993,2.794530999381095
11,android,2.111621000949526,3.0894949995854404
11,android,2.680223999050213,3.5354150022612885
11,android,2.2610470005020034,2.627293000841746
11,android,1.9903280008293223,3.233406001527328
11,android,2.517715998692438,2.915491997555364
11,android,2.0769040020240936,2.3904820009192917
11,android,2.0920509996358305,4.199956001684768
11,android,2.5425480016565416,3.365339998708805
11,android,2.3704720006207936,2.717406998272054
12,android,2.4487919981766026,3.4750260019791313
12,android,2.9290270031196997,3.8298309991660062
12,android,2.6947260012093466,3.37281399697531
12,android,2.252144000522094,3.5803729988401756
12,android,2.381174999754876,3.6184679993311875
12,android,2.4657159992784727,3.410407000046689
12,android,2.560835000622319,3.650550999736879
12,android,3.540129000612069,3.3447190035076346
12,android,2.3539769972558133,3.6660890000348445
12,android,2.6956809997500386,3.533110997523181
12,android,2.4587510015408043,3.123288999631768
12,android,2.2116709988040384,3.3114420002675615
12,android,2.9297670007508714,4.484459997911472
12,android,2.4695329993846826,3.3637209999142215
12,android,2.2141690024000127,3.803759998845635
12,android,2.6994979998562485,3.4961799974553287
12,android,2.4985420022858307,3.622609998274129
12,android,2.4763539986452088,3.7327370009734295
12,android,2.37080399892875,3.0776670027989894
12,android,2.4224859989772085,3.6925999993400183
13,android,2.47741400016821,3.318361999845365
13,android,2.593485998659162,4.312792003474897
13,android,2.3611710021214094,3.166303999023512
13,android,2.1107829998072702,3.674487001262605
13,android,2.3068070004228503,3.2129969986272044
13,android,1.9806390009762254,2.785052998660831
13,android,2.016965998336673,2.978286000143271
13,android,2.353601001232164,3.3573030013940297
13,android,2.0816830001422204,2.612611999211367
13,android,1.9963060003647115,3.0690239982504863
13,android,3.3479769990663044,3.8311239986796863
13,android,2.2162690002005547,3.07346299814526
13,android,2.8866329994343687,4.090849997737678
13,android,2.8794710015063174,3.5465519977151416
13,android,2.4064059980446473,3.0437729983532336
